ASV	NTC	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V5	V2_3	S2_2	D24	V24	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
ASV14	1	0	1	2	0	1	0	9	6054	0	1	613	0	1880	4	0	95	1537	15	5	1699	86	76	3211	0	5	3	1	1117	2	0	3	1	65	3	18	1944	0	2	8381	4	3	1685	70	0	2	1656	4	4643	9	1280	28	250	4	3	1	3	0	2	884	505	482	672	115	1	5337	7532	1	5370	3	1823	5	151	351	0	72	11	2	1649	5052	1378	3	1748	1	0	0	0	475	6166	1179	78
ASV15	7	3	1	7	18	0	0	4	4	0	0	0	7891	1	5993	0	2	3	0	16644	3	0	5	0	3776	11042	272	3766	0	0	0	0	0	329	10	0	1	0	0	9	718	898	85	0	2776	11141	5	1	116	6643	93	7598	8	5454	1138	10951	7577	6598	1	1	1	0	578	1	0	1	15	0	2	6420	0	0	0	82	0	13	0	1	0	0	2	0	95	2027	0	9119	9712	704	10	0	0
ASV16	5	1	0	3	11	0	0	7	2	0	0	0	5575	1	4309	1	0	0	0	11661	2	0	1	0	2909	7954	162	2671	0	1	0	0	0	238	8	0	1	0	1	4	500	640	55	0	1886	8090	4	1	102	4556	49	5692	5	3844	756	7641	5439	4598	1	0	0	1	448	0	0	0	5	1	1	4402	0	0	0	57	0	7	1	1	0	0	0	0	52	1498	0	6414	6765	501	8	0	0
ASV17	0	0	1	4	0	0	0	9	4939	0	1	573	1	1611	1	0	97	1259	11	7	1373	42	61	2522	0	5	0	1	906	1	0	0	0	61	5	16	1524	0	1	6782	3	2	1421	74	0	0	1333	2	3648	7	967	23	206	2	5	0	1	0	4	767	429	369	521	104	0	4422	6017	1	4284	5	1502	12	120	303	2	51	7	8	1293	4053	1160	2	1430	2	0	0	0	379	4896	999	72
ASV18	1	0	4	0	0	0	0	2	0	0	1	95	60	714	0	0	7050	13	1	3	2292	12678	1	1	1	7	4	2	1	6	1	0	0	14	0	4	0	0	63	0	113	68	9115	0	0	1	8781	1	20	80	6809	404	2583	1	82	8	0	11	1	4	0	0	0	0	7	1	0	1	1	15	8336	0	1	2882	1	0	5	4	17	0	1	2	9490	0	0	2	4	1	0	20	0
ASV19	0	2	3	22	0	5	0	10972	0	3013	3621	425	1191	1984	0	0	4258	4	0	1	7329	1	0	5116	452	2	3	91	1142	0	3680	6793	17	3	5048	1870	163	1951	5254	1	3	1	63	1	0	1	2677	9518	5390	2273	42	3757	2088	1	0	2	2	2	5568	7311	356	1	0	59	3427	1	2	10175	4	20	3931	0	1	1	12	1227	10135	11615	11	7167	2377	19	111	1185	1589	625	0	7916	566	1	198
ASV20	0	0	0	0	0	0	0	13	4387	0	0	452	0	1405	2	1	75	1116	7	6	1149	42	61	2100	1	2	0	1	828	0	0	0	0	54	5	15	1297	0	2	5782	2	5	1145	46	0	0	1160	0	3247	5	914	36	184	1	4	0	2	1	0	622	368	341	505	87	1	3823	5284	0	3848	4	1340	3	106	278	2	45	6	13	1180	3636	1005	0	1293	0	0	0	0	371	4173	851	71
ASV21	0	0	1	17	1	2	0	8596	0	2478	2844	419	923	1500	0	0	3297	7	0	2	5790	0	0	4089	365	0	3	66	851	0	2899	5216	8	1	3804	1468	165	1582	4068	0	1	0	53	0	0	1	2117	7698	4222	1813	27	3093	1632	1	1	2	1	0	4250	5553	271	0	0	46	2687	1	5	8023	2	20	3204	0	0	0	3	969	7942	9240	5	5489	1731	19	102	973	1257	524	0	6153	450	0	144
ASV22	0	0	1	0	0	0	0	6	4081	0	1	430	2	1334	2	1	65	1084	3	8	1183	55	59	2109	0	5	0	0	790	0	0	2	0	60	0	23	1315	0	2	5613	4	2	1073	46	1	1	1118	1	3050	2	788	36	166	0	6	0	2	1	1	652	327	320	443	86	0	3674	4805	0	3484	4	1193	7	90	263	2	34	5	8	1070	3536	968	0	1140	1	0	0	0	330	4263	873	62
ASV23	1	0	1	14	0	1	0	8886	0	2581	2879	353	954	1599	0	0	3259	6	1	0	5621	0	2	4045	394	0	2	70	898	0	2854	5238	14	0	3807	1446	156	1610	4168	1	1	2	65	1	1	0	2199	7478	4174	1802	42	2967	1727	0	2	2	1	0	4327	5548	241	0	1	32	2710	0	3	8109	3	33	3215	0	1	2	6	919	7828	9056	5	5478	1890	18	79	962	1312	538	0	6152	454	1	136
ASV24	2	0	2	2	0	0	0	5	0	1	0	93	63	635	0	0	5546	12	1	3	1844	10068	0	0	3	2	1	1	0	3	1	0	4	29	0	2	0	0	43	0	81	47	7411	0	0	2	6960	3	15	39	5435	281	2044	1	69	3	0	7	3	2	0	0	0	0	8	1	0	1	1	3	6493	0	1	2355	2	0	7	11	7	1	0	1	7702	0	0	10	4	0	0	16	0
ASV25	0	0	0	0	0	0	0	12	3465	0	0	353	1	1109	0	0	54	901	7	3	943	50	51	1882	0	0	0	1	652	3	1	0	0	46	5	15	1096	0	2	4719	2	4	938	43	0	1	961	3	2520	4	713	17	143	0	5	0	5	0	1	502	302	276	392	73	0	3244	4232	0	3049	4	1106	5	91	222	1	38	10	5	965	2812	815	1	1043	1	0	0	0	280	3560	674	51
