ASV	NTC	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V5	V2_3	S2_2	D24	V24	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
ASV390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	328	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1583	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV392	0	0	0	0	0	0	0	1	60	0	2	4	2	19	0	0	22	61	1	0	21	6	41	10	0	0	0	0	20	28	0	0	4	7	9	4	0	0	3	30	2	0	15	3	1	0	5	0	8	0	12	0	8	11	1	0	4	0	5	1222	6	7	6	1	0	0	125	0	9	2	41	1	3	1	0	0	0	1	70	37	11	0	15	0	0	1	0	51	32	37	1
ASV393	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	11	6	0	87	0	0	0	0	0	2	0	0	1	0	2	2	343	0	0	5	0	0	21	1	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	32	280	195	0	0	0	64	0	19	0	0	0	0	758	1	2	0	0	0	1	13	0	10	0	0	0	0	0	31	0	6
ASV394	0	0	0	0	0	0	0	21	54	1	12	30	26	23	4	6	26	72	36	1	53	24	32	4	0	2	1	0	5	20	0	15	1	53	11	17	9	1	14	28	2	6	89	12	1	5	8	0	60	1	63	11	67	2	5	3	9	1	13	55	70	165	8	1	1	1	114	6	0	1	67	1	63	7	18	2	20	18	62	11	56	0	122	7	1	0	0	73	6	41	60
ASV395	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	28	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	55	0	0	40	0	0	3	0	0	81	1	0	0	77	0	0	0	34	0	0	0	1	0	0	0	0	0	233	6	2	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	25	3	11	0	84	0	0	0	0	3	3	24	1254
ASV396	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	1	0	0	0	22	8	0	66	0	0	0	0	0	1	0	0	0	3	0	1	346	0	0	4	0	0	11	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	19	289	177	0	0	0	76	0	18	0	0	0	0	757	0	0	0	0	0	3	17	0	19	0	0	0	0	0	27	0	7
ASV397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV398	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	23	0	1	0	2	4	0	0	0	0	0	1	0	0	0	0	71	0	0	41	0	0	3	3	0	67	0	0	0	73	0	1	0	40	3	0	0	0	0	0	0	0	0	209	6	3	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	25	1	12	0	78	0	0	0	0	0	5	20	1208
ASV399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1298	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	1	9	40	0	0	205	0	0	0	0	0	0	0	0	0	0	139	0
ASV400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	25	3	4	0	0	0	0	0	0	0	0	0	438	0	0	0	55	0	0	3	0	4	0	0	0	0	0	0	157	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	13	0	0	0	0	41	0	0
ASV401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV402	0	0	0	0	0	0	0	13	1	4	1	1	0	4	1	0	1	9	2	0	1	0	3	1	0	2	0	3	0	0	1	1	1	0	0	0	5	0	20	3	700	531	7	0	2	6	0	0	0	0	1	1	0	1	598	0	0	1	0	0	1	7	1	2	2	0	19	2	0	1	4	0	2	3	6	3	13	17	7	0	5	2	4	5	0	8	11	0	1	7	1
ASV403	0	0	0	0	0	0	0	40	0	0	6	1	6	50	15	0	4	408	19	0	28	20	0	35	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	6	8	538	0	0	0	0	1	3	20	449	14	0	3	6	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	2	18	0	7	5	0	69	52	295	0	4	0	489	0	0	0	0	28	6	317	56
ASV404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	2	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1796	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1239	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	407	0	0	0	16	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
ASV406	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	0	1	0	0	0	0	0	990	0	0	0	0	214	0	0	0	0	2214	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV407	0	0	0	0	0	0	0	333	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	1	0	0	0	2	0	15	0	3	1	0	2	0	0	0	0	2	0	0	43	0	0	0	0	0	0	2	0	0	58	10	352	438	0	0	0	0	0	0	562	0	0	0	0	0	0
ASV408	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	3	2	0	0	2	0	6	1	0	0	0	0	1	117	0	0	28	11	0	0	64	0	0	18	2	5	9	3	0	0	10	0	1	0	8	0	2	0	5	0	0	0	3	0	76	0	578	0	0	0	48	0	0	0	10	0	0	60	1	0	0	0	0	0	17	0	12	0	0	0	0	0	35	1	706
ASV409	0	0	0	0	0	0	0	2	0	0	0	0	0	22	0	2	3	1	0	1	9	0	21	0	0	10	0	0	0	0	0	0	0	33	0	0	26	0	0	0	7	12	58	2	0	0	278	1	2	0	35	0	0	0	4	0	0	0	0	1	105	0	5	0	0	0	462	0	0	0	57	0	0	0	0	0	0	2	5	0	26	0	79	0	0	0	0	10	4	0	579
ASV410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1207	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	397	0	0	0	21	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
ASV411	0	0	0	0	0	0	0	0	53	0	0	6	0	18	1	0	7	62	0	0	19	5	38	4	0	0	0	0	22	17	0	0	7	3	0	1	2	0	2	29	0	3	13	1	0	1	8	0	7	0	7	0	11	13	4	0	0	0	8	1130	5	3	7	1	1	0	125	0	14	1	30	0	9	7	1	0	4	0	61	34	7	0	13	0	0	2	0	48	26	26	0
ASV412	0	0	0	0	0	0	0	0	151	0	0	132	0	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	51	3	0	0	0	0	6	274	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV413	0	0	0	0	0	0	0	322	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	3	0	1	0	4	1	2	1	0	0	0	0	1	0	0	39	0	0	0	0	0	0	0	0	0	44	6	358	402	0	0	1	0	0	0	553	0	0	0	0	0	0
ASV414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	89	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	86	691	0	0	58	0	0	0	570	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3	0	0
ASV415	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	26	0	13	0	0	0	0	0	84	0	0	133	0	0	5	47	0	0	66	0	0	0	132	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	2	19	863	24	0	0	0	0	0	234	0	0	0	63	28	4	1	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0
ASV416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV417	0	0	0	0	0	0	0	4	25	26	0	0	0	0	0	15	0	0	0	28	62	0	1029	0	0	4	0	0	0	53	0	59	0	808	0	0	25	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	192	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	7	3	0	0	226	36	0	0	0	0	0	0	0	0	85
ASV418	0	0	0	0	0	0	0	3	43	0	0	6	0	12	2	0	17	50	1	0	15	8	35	5	0	1	0	0	28	20	0	1	10	3	3	1	1	1	2	23	2	1	19	2	2	0	5	0	5	0	11	3	12	9	2	1	2	0	18	1210	3	4	6	0	0	0	101	0	6	0	29	2	6	4	2	1	2	1	58	30	7	0	15	0	0	2	0	53	17	38	5
ASV419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV420	0	0	0	0	0	0	0	1	21	0	0	0	3	9	0	0	8	22	1	0	42	19	9	0	0	0	0	0	7	42	3	0	30	1	0	0	2	0	0	26	10	11	65	6	0	3	133	0	14	0	41	1	279	4	10	0	2	0	6	0	53	2	36	18	0	0	0	2	5	4	5	0	157	342	0	0	0	3	46	0	138	0	93	0	0	0	0	29	94	27	0
ASV421	0	0	0	0	0	0	0	8	0	4	0	0	1	0	0	0	2	7	6	1	0	1	0	2	0	0	2	1	0	0	0	0	2	0	0	1	7	0	2	0	685	453	3	1	0	1	0	0	2	2	0	1	0	0	542	1	1	0	0	0	1	8	0	5	0	0	16	1	0	0	3	0	0	2	8	2	13	11	7	0	1	2	3	2	3	3	12	5	2	10	1
ASV422	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	0	12	0	19	0	0	9	0	0	0	0	0	0	0	28	0	0	21	0	0	0	6	3	64	2	0	0	283	0	2	0	53	0	0	0	4	0	0	1	0	3	91	0	8	0	0	0	436	0	0	0	77	0	0	0	0	0	0	0	6	0	12	0	84	0	0	0	0	2	1	0	504
ASV423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	16	0	4	43	0	0	0	0	0	1	0	0	5	17	0	2	274	0	0	0	1	1	17	0	0	0	8	0	0	0	2	0	22	0	0	0	0	0	0	0	682	0	0	0	0	5	0	0	50	0	111	1	0	309	0	2	0	0	0	0	37	0	9	0	0	0	0	7	37	0	0
ASV424	0	0	0	0	0	0	0	0	0	0	0	1584	0	3	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	24	0	0	1	5	0	0	86	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	1	0	0	0	0	0	2	7	3	1	0	0	60	3	0	1	1	2	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	7
ASV425	0	0	0	0	0	0	0	281	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	5	0	1	3	1	1	0	1	0	0	1	0	0	35	0	0	0	0	0	0	0	0	0	54	5	350	399	0	0	0	0	0	0	522	0	0	0	0	0	1
ASV426	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	14	0	0	0	2	8	0	0	0	0	0	1	0	0	0	0	69	0	0	45	0	0	2	1	0	77	0	0	0	49	0	3	0	37	1	0	0	0	0	0	0	0	0	175	6	2	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	15	0	9	0	90	0	0	0	0	2	2	24	1041
ASV427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV428	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	107	17	0	0	0	0	0	1	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	433	342	81	0	0	0	2	0	0	25	0	0	0	98	0
ASV429	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	2	0	0	0	14	4	0	72	0	0	0	0	0	0	0	0	2	0	0	2	264	0	0	3	0	0	16	1	0	0	2	0	3	0	6	0	0	0	0	0	0	1	0	0	31	245	179	0	0	0	54	1	15	0	0	0	0	675	0	0	0	0	0	4	16	0	17	0	0	0	0	0	35	0	3
ASV430	0	0	0	0	0	0	0	26	239	325	1	4	6	24	55	35	6	157	9	0	16	7	6	58	0	3	51	0	2	16	3	11	0	1	2	0	11	3	1	5	1	3	39	0	2	9	0	64	32	5	50	5	7	36	9	22	11	2	0	2	22	64	3	218	8	1	16	2	0	8	37	9	59	6	190	33	28	0	28	4	87	230	65	14	10	6	22	47	5	107	3
ASV431	0	0	0	0	0	0	0	1	44	0	0	4	1	16	1	0	17	44	1	0	14	5	28	6	0	2	0	0	22	12	0	0	7	4	0	0	1	3	3	25	4	0	8	3	0	1	3	0	10	0	6	1	10	9	1	0	0	0	10	963	4	4	12	0	1	0	104	0	5	0	35	0	5	5	0	0	3	1	64	35	12	0	15	0	0	1	0	45	31	20	3
ASV432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	727	0	114	0	0	16	0	0
ASV433	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	1	0	0	0	6	3	0	73	0	0	0	0	0	1	0	0	0	1	0	2	256	0	0	6	0	0	12	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	18	233	184	0	0	0	61	0	22	0	0	0	0	685	0	1	0	0	0	0	13	0	11	0	0	0	0	0	20	0	6
ASV434	0	0	0	0	0	0	0	5	0	8	18	3	22	89	10	37	2	14	0	0	49	0	0	5	0	3	0	0	1	13	0	17	0	4	1	0	3	0	0	0	4	2	15	0	0	2	44	16	93	6	6	32	409	43	1	0	0	0	7	0	45	0	6	61	44	0	0	3	48	2	5	6	0	16	0	0	3	1	18	0	112	0	25	1	0	18	0	29	3	22	325
ASV435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736
ASV436	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	175	1	0	0	0	0	0	0	113	5	13	10	7	3	1	0	0	0	75	0	7	0	625	126	0	0	74	0	0	1	0	2	0	0	0	0	3	0	80	1	148	0	1	16	0	212	0	3	0
ASV437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	2	1	0	0	0	1	0	0	0	0	0	183	0	1	0	0	0	0	1	1	14	0	0	0	0	0	1	1	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	683	0	130	0	0	12	0	0
ASV438	0	0	0	0	0	0	0	1	6	0	1	4	6	20	2	0	32	57	0	5	39	0	28	11	0	0	0	0	5	5	6	1	10	1	4	1	0	1	1	15	3	1	8	1	0	0	1	0	12	1	11	1	11	1	0	0	0	0	3	18	7	2	2	1	0	1	771	0	8	0	9	0	8	4	0	1	3	4	88	10	22	0	24	1	0	1	0	171	20	57	5
ASV439	0	0	0	0	0	0	0	23	53	3	2	23	14	23	4	4	21	51	38	4	42	36	31	5	1	8	0	0	7	15	1	13	1	45	12	11	10	3	9	25	3	2	78	10	0	3	2	0	41	1	52	5	55	7	6	3	3	2	17	56	48	153	13	4	0	1	99	4	0	1	75	2	48	9	6	0	12	15	52	8	38	1	108	4	0	0	0	67	5	37	42
ASV440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	12	0	5	37	0	0	0	0	0	3	0	0	7	18	0	3	215	0	0	0	0	3	17	1	0	0	20	0	0	0	5	0	25	0	2	0	0	0	0	0	584	0	0	0	0	7	0	0	39	0	109	0	0	265	0	1	0	0	0	0	30	0	12	0	0	0	0	3	56	1	0
ASV441	0	0	0	0	0	0	0	1	0	0	0	0	0	17	0	0	7	0	0	0	8	0	20	0	0	6	0	0	0	0	0	0	0	30	0	0	22	0	0	0	6	3	66	1	0	0	243	0	1	0	35	1	0	2	11	0	0	0	0	2	98	2	4	0	0	0	395	0	0	0	56	0	0	0	0	0	0	0	5	0	22	0	76	0	0	0	0	5	1	0	491
ASV442	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	13	0	2	0	0	0	2	0	155	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	413	348	85	0	0	0	0	0	0	21	0	0	0	87	0
ASV443	0	0	0	0	0	0	0	0	0	26	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	1387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV444	0	0	0	0	0	0	0	281	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0	0	8	0	2	2	1	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1	0	0	31	4	307	368	0	0	1	0	0	0	473	0	0	0	0	0	0
ASV445	0	0	0	0	0	0	0	1	0	0	0	12	4	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6	5	142	0	0	0	2	0	0	1	117	3	10	12	10	4	5	0	0	0	71	0	15	0	595	126	0	0	61	2	1	0	0	3	0	0	0	2	3	0	81	0	148	0	0	10	0	219	0	3	0
ASV446	0	0	0	0	0	0	0	0	0	0	0	12	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	6	146	0	0	0	2	0	0	3	108	4	15	10	14	4	4	0	0	0	85	0	10	0	555	128	0	0	61	2	0	0	0	4	0	0	0	1	8	0	89	0	141	0	0	19	0	178	0	3	0
ASV447	0	0	0	0	0	0	0	8	30	5	0	1	11	1	87	4	3	5	8	68	1	20	22	14	4	30	12	4	18	114	4	187	3	11	0	39	48	2	3	0	68	30	30	18	0	57	0	5	2	8	18	30	9	90	59	10	12	25	6	3	15	74	3	35	28	0	3	15	2	31	11	15	30	21	10	285	16	9	10	0	15	0	30	0	51	5	6	3	1	12	87
ASV448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	30	0	3	0	0	0	0	0	0	0	0	0	355	0	0	0	37	0	0	3	0	3	0	0	0	0	0	0	136	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	28	0	0
ASV449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1322	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	1	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1488	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV451	0	0	0	0	0	0	0	6	0	7	0	0	8	1	0	0	0	32	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	477	229	140	0	0	0	0	0	0	0	84	0	0	0	226	0	0	0	0	0	60	0	0	0	0	0	0	44	0	0	0	0	0	0	0	1	4	2	76	0	0	2	169	0	0	0	0	3	0	25	0
ASV452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	1	1	0	0	0	0	0	0	0	0	0	154	0	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	634	0	117	0	0	11	0	0
ASV453	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	6	0	0	0	25	0	0	86	241	914	0	0	0	0	0	0	0	0	1	0	3	0	0	10	3	0	0	2	2	7	0	1	1	0	0	0	4	8	13	0	0	0	54	0	0	19	0	0	0	0	0	0	7	37	0	2	0	7	2	1	2	2	0	3	5	0	8	0	0	0	16	0	2	1
ASV454	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	22	0	0	0	2	5	0	0	0	0	0	1	0	0	0	0	41	0	0	36	0	0	1	1	1	55	0	0	0	72	0	3	0	50	2	0	0	1	0	0	0	0	0	156	6	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	22	1	10	0	59	0	0	0	0	1	1	18	989
ASV455	0	0	0	0	0	0	0	14	31	1	9	28	17	25	0	3	29	43	36	3	58	26	37	3	0	2	0	0	2	14	1	9	2	43	6	10	6	0	13	15	5	6	57	11	1	3	5	0	46	1	49	15	59	6	5	4	0	1	8	45	46	125	4	2	1	0	98	0	0	2	61	1	50	6	6	2	15	14	66	4	43	0	100	5	1	1	0	51	6	34	48
ASV456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	967	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	338	0	0	0	20	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
ASV457	0	0	0	0	0	0	0	0	2	0	4	1	0	4	26	0	369	10	0	0	0	7	0	0	0	0	0	0	4	235	0	0	435	0	0	0	16	0	0	1	0	0	0	7	0	0	1	0	12	0	1	1	13	1	0	0	0	0	0	15	40	93	90	1	0	0	0	0	1	0	25	0	0	11	0	0	0	0	11	0	28	0	3	0	1	0	0	0	31	11	6
ASV458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	260	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	1281	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	18	2	2	0	0	0	0	0	0	0	0	0	368	0	0	0	39	0	0	4	0	7	0	0	0	0	0	0	117	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	0	0	34	0	0
ASV460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV461	0	0	0	0	0	0	0	297	1	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	86	16	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	307	315	73	0	0	0	2	0	0	28	0	0	0	79	0
ASV462	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	3	0	1	0	7	0	18	0	0	8	0	0	0	1	0	0	0	32	0	0	14	0	0	0	8	0	60	1	0	0	240	0	3	0	38	0	0	0	9	0	0	0	0	1	86	0	2	0	0	0	360	0	0	0	58	0	0	0	0	0	1	1	4	0	11	0	73	0	0	0	0	7	1	0	437
