OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	6505	0	0	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	49554	2	0	0	0	0	0	0	0	0
OTU16	0	0	3	0	0	0	358	0	22	78	13	308	687	184	20	335	9260	55	13	257	287	0	335	0	4	0	0	0	113	2	27	0	301	30	0	398	2	6	1	79	100	10785	0	0	35	0	76	10	40	8900	64	0	153	81	119	4	137	129	4	26	4	32	3	1	1	1	0	0	71	597	59	2116	167	332	4	373	356	7011	33	50	3	10168	0	17	0	31	1198	18	7177	655
OTU17	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	40300	0	5	0	9	0	0	0	0	2	1	0	0	0	3	3	8	0	5	0	3	1	10	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU18	0	0	0	0	0	0	0	0	0	0	0	0	4	374	5466	0	11699	67	0	0	1	0	0	0	0	106	0	0	0	1	0	0	60	0	0	101	0	16	0	0	0	536	9539	0	0	150	0	0	1	383	4	45	33	0	2	0	0	0	0	13	0	34	0	0	3889	85	0	708	0	0	10	20	471	29	113	2	0	13502	0	33	0	631	0	83	0	993	13	8	10259	300
OTU19	0	0	0	0	0	0	1	0	0	0	2	10	2	15245	5662	0	1	0	1	0	0	0	0	0	3	37	0	0	0	1	0	0	0	0	0	65	0	0	0	1195	1008	1	0	0	0	0	0	0	0	3	0	0	0	1152	0	1462	0	0	0	44	0	6	1	0	0	47	0	0	0	1	0	0	0	6055	14008	1	0	12	0	105	0	1	691	0	0	0	0	0	6	8
OTU20	1	0	0	61	0	0	3572	0	124	861	43	16	0	39	3365	2	0	8519	42	1	5	0	0	0	0	0	0	35	1	2336	151	9	0	3064	0	0	1824	2029	0	10	1	1	6	1435	62	2	12	0	0	0	1	0	217	3	0	0	0	5208	0	0	0	1	0	1771	7432	9	1210	0	0	1	1242	0	0	446	3390	2868	4217	0	0	0	13	2	0	2371	0	12	1	0	0	0
OTU21	0	1	0	0	0	0	0	12	0	1	0	0	1	1704	1148	0	1	0	230	0	0	531	0	0	0	0	0	0	0	0	0	0	2877	0	0	3049	18	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	1114	0	0	28	0	0	0	6433	0	7698	0	0	2	154	0	0	0	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7617
OTU22	0	0	0	0	0	2	273	60	122	98	19	188	123	197	80	114	266	678	123	179	376	129	114	15	84	317	1123	22	183	373	253	62	286	418	2	709	28	26	74	678	395	673	97	193	751	96	27	348	201	393	449	273	553	426	207	1216	313	229	176	660	181	149	590	382	23	194	50	343	1104	660	50	1624	499	1801	538	311	334	514	193	1880	39	798	2683	192	607	3620	339	66	277	1733
OTU23	0	0	4	0	0	0	260	0	0	44	2600	4	13	48	0	0	0	36	0	0	7	1	2	0	0	339	0	0	0	28	0	0	0	1	0	1	1	0	1	1746	1181	0	0	22	0	2	0	0	0	1	0	1	1645	1412	5749	55	1184	0	0	6	3259	0	6	0	0	2	714	0	203	0	0	2051	0	16434	9	342	310	1	0	1	0	0	2271	116	0	0	0	0	0	0
OTU24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29945	0	0	363	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
