OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU65	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU66	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	276	0	0	0	0	0	1	0	0	1	0	0	112	0	3	0	0	0	0	0	0	0	0	0	0	2203	0	0	0	1726	1	0	0	0	0	0	0	1138	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
OTU68	0	0	1	0	0	0	0	159	1	2	33	1	46	44	16	184	58	1	129	37	29	65	89	0	68	0	0	73	27	0	8	5	77	11	4	220	0	0	37	101	81	117	83	1	2	402	0	107	0	72	13	298	46	95	0	1	0	0	32	511	76	264	5	0	0	77	0	14	0	891	31	22	578	2	0	0	0	65	62	1233	1	145	0	0	0	0	9	61	62	581
OTU69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	0	0	0	0	0	0	77	0	0	0	0	2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	1556	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU71	0	0	1	0	0	0	0	30	0	2	0	0	49	91	0	1075	38	0	0	0	71	51	0	0	0	0	0	19	1448	0	1	1729	71	5	0	110	0	1	3	0	0	13	25	0	0	13	0	60	5	20	21	53	1	0	0	2	0	0	19	207	533	362	1	0	8	54	0	0	0	125	0	0	43	0	4	0	0	47	2	66	0	22	0	3	0	0	24	118	50	34
OTU72	0	0	1	0	0	0	31	0	2	66	144	23	31	20	2	4	3	7	2	4	13	2	18	7	6	16	1584	0	130	18	0	0	132	11	4	44	2	0	0	107	116	31	0	19	92	16	21	0	28	28	45	15	2352	98	4	12	17	4	13	12	0	8	2	34	0	0	200	4	2	12	5	7	10	136	8	34	36	16	2	92	2	22	38	1	8	3	12	17	7	113
OTU73	0	0	0	0	0	0	2	966	0	0	3	0	73	1	2	64	12	2	0	16	7	3	107	0	2	1	1	90	136	0	14	27	5	2	0	30	0	0	30	2	0	1	5	0	2	15	1	47	47	0	118	135	0	3	2	8	0	2	32	58	11	1265	1	4	10	12	0	61	1	819	0	20	823	3	3	1	0	2	357	73	11	1	0	0	0	2	0	132	3	5
OTU74	0	0	0	0	0	0	0	0	0	0	192	9	11	0	0	0	0	1	0	0	1024	353	0	0	0	1	0	0	178	0	1	11	7	0	0	113	0	2	0	1	0	2	1914	1	0	0	0	0	0	0	1	0	1	0	0	0	11	0	0	836	473	10	0	0	0	0	3	0	0	13	0	1	41	1	10	0	0	0	0	0	0	0	0	0	0	0	0	19	3	3
OTU75	0	0	0	0	0	0	0	864	0	0	17	0	128	0	0	7	9	0	0	48	0	0	34	0	0	0	0	33	10	0	0	0	1	0	1	39	0	0	357	0	0	8	0	0	0	13	0	211	0	6	8	187	0	0	0	0	0	1	357	23	4	20	22	0	46	334	0	382	0	1826	0	4	27	1	0	0	0	21	3	12	0	18	0	0	0	0	67	206	4	2
OTU76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU77	0	0	0	0	0	0	27	0	15	3	12	1	11	4	172	23	225	63	108	44	69	682	405	5	2	0	1	223	53	14	129	1	14	902	8	6	44	18	2	1	0	16	9	2	5	18	41	12	1	16	1	54	8	1	15	13	6	266	2588	2	22	12	909	5	5	81	21	53	5	62	76	639	49	4	75	22	26	215	1338	8	13	12	1	0	0	0	137	13	262	35
OTU78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4729	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU79	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	1274	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1729	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2207	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0
OTU80	0	0	0	0	0	0	0	0	0	0	113	0	77	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	0	0	0	1	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	248	0	193	0	0	1821	2188	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	334	0	0	155
OTU81	0	0	0	0	0	0	2	0	0	0	3	0	15	57	0	0	257	0	61	22	3	599	5	0	0	0	0	4	37	0	10	0	32	152	0	120	2	2	0	0	0	49	16	0	4	0	0	13	6	50	20	17	0	0	0	0	0	0	43	199	5	1	1	0	0	0	1	1	0	7	0	37	0	0	0	0	0	285	111	25	3	52	0	0	0	0	4387	2	402	64
OTU82	0	0	0	0	0	0	215	0	0	1	16	43	123	38	1	16	97	2	34	7	152	21	93	2	0	134	0	0	272	3	11	0	31	11	0	70	0	119	0	88	56	355	0	0	6	2	0	238	0	399	4	17	21	48	5	42	12	9	32	41	28	77	11	16	0	18	229	5	2	262	8	40	17	1	0	235	218	138	0	53	0	424	5	0	0	0	19	3	141	163
OTU83	0	0	0	0	0	0	95	172	8	29	66	159	185	29	47	113	524	107	7	502	140	92	60	3	47	35	28	33	73	56	104	38	155	30	41	49	46	41	91	125	89	414	33	50	18	76	1	241	46	335	97	184	78	84	71	63	72	45	200	136	986	35	31	215	4	505	41	3	44	301	17	132	25	474	67	106	113	774	8	111	6	627	643	8	109	493	300	23	351	432
OTU84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	5107	0	0
OTU85	0	0	0	0	0	0	78	0	280	4	0	1	0	7	94	19	13	12	274	11	0	22	13	0	24	3	0	0	8	77	995	0	52	7	0	217	6	11	0	30	33	28	71	0	0	1	1	5	12	37	43	0	32	29	20	0	0	9	21	24	1	2	0	5	46	17	0	0	0	31	13	5	7	1299	32	94	79	7	1	8	0	24	1	2	0	408	17	0	5	89
OTU86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2705	1	0	0	0	0	0	0	1673	0	0	0	1	0	106	3	0	0	0	0	0	0	0	0	0	9095	0	16	0	3843	0	0	0	0	4473	0	0	0	0	0	0	0	0	2736	0	0	0	0	0	0	0	0	23	0	0	0	0	2	0	0	0	0	0	0	2897	0	0	0	0	1	0	0
OTU87	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	3	4225	0	0	0	0	0	40	0	0	0	0	0	1	0	2	0	0
OTU88	0	0	0	0	0	0	76	0	18	57	30	94	87	32	42	10	56	8	59	47	88	132	65	8	7	22	0	13	123	36	154	10	19	368	12	34	3	8	0	25	27	65	60	13	47	37	45	19	14	66	38	19	64	32	15	3	26	80	276	91	71	15	728	31	0	31	61	28	39	52	13	264	23	15	20	113	94	69	25	42	11	57	0	3	1	0	484	30	100	116
OTU89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	10	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1529	0	0	0	262	0	0	0	0	0	0	1081	0
OTU90	0	0	0	0	0	0	0	0	0	0	0	35	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	4	0	0	119	0	0	2	0	0	0	0	0	0	0	0	3	0	5333	0	0	0	0	0	0	1	0	0	0	0	0	178	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU91	0	0	0	0	0	0	45	0	15	17	15	9	69	18	10	137	150	29	15	568	75	4	7	0	1	0	23	7	60	23	25	0	11	42	3	13	7	15	13	21	13	215	2	15	5	20	3	132	10	151	31	87	23	17	4	7	1	46	24	113	0	79	1	21	0	854	21	31	28	215	15	8	108	6	1	40	39	143	1	69	2	310	11	7	21	0	70	27	91	115
OTU92	0	0	0	0	0	0	0	554	1	1	0	2	0	5	9	7	0	30	5	0	40	0	967	0	3	0	34	3	5	13	5	0	6	0	1	30	0	0	0	0	0	30	7	0	1	0	27	4	35	26	77	2	0	2	0	0	7	0	0	0	113	0	16	3	0	0	0	0	4	0	0	0	2	0	13	0	0	0	1324	5	9	22	0	1	0	0	0	0	0	15
OTU93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1086	0	0	0	2	0	0	0	0	0	130	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	5	4	0	0	2232	316	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	102	0	0	0	0	0	0	0	7	0	0
OTU94	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3355	0	1	0	0	0	0	5	0	0	2	0	0	1	10	0	2	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	8	0
OTU95	0	0	0	0	0	0	1	7	0	7	2	55	44	0	1	9	3	0	2	0	0	0	0	2	1	0	0	0	1	1	0	0	7	0	1	38	0	4	2	1	1	42	0	0	0	1	1	12	0	28	2	36	2	1	20	1	0	0	2453	114	0	7	0	31	1	35	0	0	0	15	0	0	1	1037	10	5	4	5	0	68	0	63	36	16	0	0	0	1	2	437
OTU96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	9	43	24	0	0	38	0	19	0	0	0	203	0	6	1257	3	0	0	109	0	2	361	0	0	0	239	0	7	23	0	0	0	1	0	0	22	0	0	0	0	47	123	13	0	11	0	0	2	0	0	0	0	0	70	0	1	0	3	0	0	0	0	256	2	0	0	0	0	0	27	0	0	30
OTU98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	6	0	0	0	0	0	0	186	0	0	134	0	0	0	0	0	0	0	0	43	0	0	0	0	0	1	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU99	0	0	1	0	0	0	0	40	6	0	0	1	2	1	5	1	1	1	15	208	1	0	0	23	3	8	0	0	2	18	0	0	4	0	0	19	0	2	698	1	1	19	1	0	0	0	839	19	6	32	55	0	1	0	26	0	66	0	37	77	202	0	97	7	0	0	1	2	0	161	0	0	11	1120	4	1	0	0	55	22	2	35	0	39	0	0	0	0	0	32
OTU100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	0	0	0	14	0	15	0	0	8	4	7	27	10	11	2	22	7	46	0	15	2	8	52	4	0	99	1	28	16	3	4	0	74	45	7	4	33	49	71	8	36	15	3	0	6	28	77	83	1	5	38	394	3	10	4	318	171	377	114	161	22	0	67	5	0	1	96	1	0	10	282	26	30	12	10	0	75	74	64	6	5	0	0	8	1	7	236
OTU102	0	0	0	0	0	0	28	84	10	11	14	14	87	10	11	24	42	22	8	8	80	135	353	1	7	21	16	5	71	11	34	11	81	49	25	15	1	15	20	158	110	37	76	7	6	107	15	9	16	62	38	112	48	120	4	13	5	25	9	63	105	7	57	22	4	8	4	15	1	11	1	30	8	68	6	40	11	37	17	54	32	42	5	5	6	10	102	23	78	26
OTU103	0	0	0	0	0	0	0	67	0	0	9	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	2	6	0	0	0	0	4	0	1	0	5	27	8	0	0	3	2	0	1	0	6	1422	0	0	0	328	0	0	0	0	3	0	0	0	0	0	343	0	0	0	2	4	0	0	0	0	0	422	0
OTU104	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	0	0	2	0	0	79	15	0	0	20	13	0	119	23	2	0	51	0	0	0	11	0	0	0	0	0	6	350	1186	0	49	0	1	1	1	0	0	9	0	15	0	49	2	42	20	718	2	2	2	0	0	0	28	0	6	4	309	3	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU105	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1216	202	0	0	0	0	0	0	0	0	0	96	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	462	0	0	0	0	1	0	0	0	0	0	7	0	0
OTU106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2974	0	0	0	0	0	0	0	282	0	2
OTU107	0	0	1	0	0	0	53	249	12	524	1	9	12	227	2	5	43	20	0	6	3	5	0	0	0	0	43	0	8	30	0	0	2	0	0	3	2	0	0	149	102	55	33	0	9	0	2	4	32	46	47	5	47	119	0	41	1	0	2	0	10	3	94	54	58	0	7	0	3	5	4	3	0	55	109	51	50	42	0	1	6	78	83	0	102	23	44	3	7	38
OTU108	0	0	0	0	0	0	0	0	0	0	0	0	0	44	4	0	3	0	42	0	22	0	0	0	14	18	0	0	212	0	49	15	2	2	0	130	4	19	905	0	0	26	0	0	3	0	117	21	49	38	101	0	0	0	0	0	0	0	0	766	1	0	3	7	0	0	0	0	1	0	0	0	0	137	0	0	0	2	0	84	0	31	1	0	0	0	0	0	3	105
OTU109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	39	23	1408	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	75	0	0	0	0	11	0	0	276	0	5	0	0	0	591	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70	0	3	337	0	0	0	0	64	1	0
OTU110	0	0	0	0	0	0	3	0	0	0	15	15	14	2	4	8	26	22	3	0	25	9	0	0	1	13	1	0	71	0	4	38	0	1	6	125	1	71	0	48	39	18	0	0	2	1	0	1	3	26	6	0	108	38	5	15	0	14	1509	1	2	3	5	0	16	0	0	0	0	40	4	12	2	40	124	4	2	18	0	29	0	24	2	0	0	0	36	1	9	6
OTU111	0	0	0	0	0	0	6	0	0	14	0	0	24	0	0	6	388	0	0	0	0	0	1	0	1	0	0	1	0	5	0	0	0	9	8	11	0	0	0	0	0	215	1	0	1	62	2	55	0	129	4	101	6	2	0	0	0	0	0	26	0	0	8	27	4	283	0	24	217	2	1	0	35	0	0	5	2	456	14	18	3	236	1	1	45	63	15	1	282	14
OTU112	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	291	0	0	0	0	0	0	0	249	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0
OTU113	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1991	0	0	0	12	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	526	0	4
OTU114	0	0	0	0	0	0	0	0	0	0	0	8	1	729	0	0	4	0	0	0	0	0	9	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	19	3	2	0	16	3	60	39	0	0	0	0	0	6	0	0	0	0	0	6	1	0	6	14	0	0	0	3	1383	0	0	0	0	6	1	0	0	2	0	0	0	3	0	1	6	0
OTU115	0	0	0	0	0	0	0	30	3	3	0	4	6	0	1	146	246	0	25	128	10	12	0	0	6	0	0	5	23	11	47	0	36	18	22	32	0	7	4	12	7	27	0	0	3	40	14	63	1	14	9	77	3	9	0	0	0	22	5	184	0	0	7	6	0	41	0	1	9	29	0	1	20	1	1	0	0	368	0	248	0	35	0	0	0	0	44	10	117	250
OTU116	0	1	0	0	0	0	1	0	9	0	0	0	0	4	1902	0	0	1	40	0	0	108	0	0	0	0	0	0	1	0	0	0	46	0	0	71	20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	13	0	0	17	56	0	0	0	16	0	1	0	19	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	82
OTU117	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	29	0	9	0	0	0	1	0	0	5	0	0	0	0	1	0	0	2	1	0	0	0	0	3	0	1	0	1	0	4	1	2	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	1	0	0	583	0	0	0	1	0	0	4	0	1	0	0	0	1	0	1816	0	2
OTU118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2351	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	4	0	14	0	1	1	0	0	0	0	0	0	0
OTU119	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	101	0	0	0	0	781	0	0	1087	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU121	0	0	0	0	0	0	0	0	0	1	0	0	2	53	0	17	0	2	2	42	0	3	5	0	7	4	0	0	86	1	7	14	22	0	0	11	1	0	4	76	41	1	16	44	3	656	0	0	0	1	0	158	0	52	5	0	1	1	4	33	0	0	0	0	0	48	1	3	0	155	1	0	381	0	8	1	1	0	0	200	0	0	3	0	13	35	0	0	0	96
OTU122	0	0	0	0	0	0	72	76	3	6	10	30	76	0	5	33	14	20	3	20	8	1	200	12	2	26	97	14	9	14	36	19	1	21	7	12	0	0	15	105	84	36	1472	0	34	13	4	60	14	49	32	13	6	85	3	7	4	1	21	28	0	18	55	14	2	18	271	0	1	115	1	4	2	17	5	48	62	22	0	11	84	31	9	7	26	1	104	34	28	14
OTU123	0	0	0	0	0	0	0	0	0	0	0	173	0	72	0	0	0	0	350	0	0	0	0	91	314	1	94	0	0	0	0	0	8	0	0	0	0	0	0	26	15	3	0	38	213	0	0	3	119	1	154	0	132	20	240	175	117	0	0	0	0	10	0	0	0	0	0	0	180	0	0	0	3	0	0	0	0	0	0	0	0	1	35	0	188	201	8	0	0	0
OTU124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	1	231	3	0	674	2	0	0	226	0	0	9	0	0	0	0	0	10	1	9	4	0	0	0	0	0	0	3	30	10	0	229	1	0	94	2	0	177	0	13	0	0	7	0	0	0	0	0	22	13	0	9	0	0	0	0	48	14	0	0
OTU126	0	0	0	0	0	0	0	1778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
OTU127	0	0	0	0	0	0	4	40	0	2	3	1	26	4	0	29	20	4	0	9	24	0	0	4	4	1	29	3	23	0	5	0	0	1	0	0	5	0	0	37	20	25	5	0	0	52	1	14	2	21	2	121	25	33	8	839	3	3	14	4	2	8	1	15	0	0	0	12	20	40	0	4	22	26	6	12	5	7	0	0	0	35	0	7	6	3	0	160	35	2
OTU128	0	0	0	0	0	0	3	33	29	2	22	2	8	5	3	123	98	1	4	54	17	3	28	0	28	0	0	24	81	5	9	8	5	3	2	19	0	6	243	2	1	30	14	0	0	13	2	71	2	14	5	43	0	4	0	0	1	0	26	26	0	25	2	4	532	154	0	5	0	15	5	32	16	0	2	8	7	76	11	62	0	34	0	0	0	3	44	22	61	19
OTU129	0	0	0	0	0	0	0	0	2	6	393	0	11	198	0	26	23	0	0	8	0	19	0	0	0	0	0	0	0	0	24	0	21	0	543	7	0	0	3	0	2	0	0	0	0	0	0	0	6	0	15	10	0	0	0	0	1	19	0	4	0	0	2	0	44	0	0	0	0	0	0	0	36	0	0	0	0	22	1	363	1	4	0	30	0	0	37	38	12	22
OTU130	0	0	0	0	0	0	2	4	0	0	0	0	1	33	7	6	0	0	14	0	4	9	0	0	3	0	0	0	234	0	1	1127	13	0	0	80	0	1	1	7	4	8	20	0	0	54	2	2	3	11	7	3	71	8	0	3	0	0	0	28	31	181	1	5	17	0	0	0	0	5	1	0	25	1	0	0	0	2	0	51	1	6	0	0	2	3	0	3	0	22
OTU131	0	0	0	0	0	0	8	12	2	0	4	0	0	24	27	24	60	0	187	22	0	393	7	0	8	0	0	38	40	1	32	59	56	135	6	54	0	0	0	0	0	24	11	0	7	0	0	1	2	14	5	6	15	0	0	0	0	8	0	32	0	11	1	0	96	39	0	0	0	3	0	36	10	1	1	12	12	57	36	59	0	25	0	0	0	0	52	2	48	45
OTU132	0	0	0	0	0	0	0	0	0	0	0	111	0	27	0	0	0	0	261	0	0	0	0	75	182	4	40	0	0	0	0	0	4	0	0	0	0	0	0	12	17	3	0	55	165	0	0	0	98	2	111	0	135	20	177	117	96	0	0	0	0	5	0	0	0	0	0	0	131	0	0	0	1	0	0	0	0	0	0	0	0	1	33	0	145	63	1	0	0	0
OTU133	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU134	0	0	0	0	0	0	0	784	0	0	0	0	33	0	0	0	0	0	0	26	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	110	0	0	0	0	0	0	5	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	2	0	50	0	0	0	0	0	0	0	0	2	1	0	0	0	382	90	0	3	0	0	0	0	0	0	0	7
OTU135	0	0	0	0	0	0	2	3	0	0	1	0	22	0	0	2	143	8	1	81	28	3	32	0	0	0	0	2	3	0	0	1	11	1	3	246	0	0	65	6	17	31	123	0	0	6	0	32	1	36	4	0	2	11	0	0	0	0	60	38	219	13	2	0	269	746	0	532	0	23	0	78	8	3	50	0	1	110	131	101	0	34	0	0	0	0	9	24	57	16
OTU136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
